country,city,long,lat,yead_estab,year_start,year_end,pop_start,pop_end,probability,type,symbol,city_english,city_hebrew,city_yid,city_german,city_other,source,comment,,
Ukraine,"Bilhorod-Dnistrovskyi, Akkerman, Weissenburg ",30.34827,46.19484,?,?,1942,30,30,,,,,אקרמן,עיר לבן,,,https://he.wikipedia.org/wiki/%D7%90%D7%A7%D7%A8%D7%9E%D7%9F,,,
Germany,Bingen,9.27238,48.11127,1349,1349,1942,30,30,,,,,בינגן,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Bingen,9.27238,48.11127,1150,1150,1942,30,30,,,,,בינגן,,,,https://www.jewishvirtuallibrary.org/bingen,,,
Germany,"Bischofsheim-on-the-Tauber, Tauberbischofsheim",9.66278,49.62472,1349,1349,1942,30,30,,,,,בישופשיים,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Bischweiler,7.8597299,48.7684576,1349,1349,1942,30,30,,,,,בישוויילר,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Bissingen,10.61766,48.71694,0,,1942,30,30,,,,,ביסינגן,,,,EhemaligeSynagogeOberdorf-Katalog-englisch-2013.pdf,,,
North Macedonia,Bitola (Manastır or Monastir),21.3308466,41.0319586,1150,1150,1942,30,30,,,,,יהדות ביטולה,"מוֹנָסְטִיר, מָנָסְטִיר",,,https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%93%D7%95%D7%AA_%D7%91%D7%99%D7%98%D7%95%D7%9C%D7%94,,,
Germany,Blankenberg,11.7161103,50.4039351,1349,1349,1942,30,30,,,,,בלנקנברג,,,,BLACK DEATH - JewishEncyclopedia.com,,,
France,Blois,1.3337639,47.5876861,1171,1171,1942,30,30,,,,עלילת הדם בבלואה,בלואה,בלוייש,,,https://he.wikipedia.org/wiki/%D7%A2%D7%9C%D7%99%D7%9C%D7%AA_%D7%94%D7%93%D7%9D_%D7%91%D7%91%D7%9C%D7%95%D7%90%D7%94,,,
France,Blois,1.3337639,47.5876861,992,992,1942,30,30,,,,,בלואה,בלוייש,,,https://www.jewishvirtuallibrary.org/blois,,,
Austria,Bludenz,9.8219314,47.153037,0,,1942,30,30,,,,,בלודנץ,,,,,,,
Austria,Bludenz,9.8219314,47.153037,0,,1942,30,30,,,,,בלודנץ,,,,https://www.jewishvirtuallibrary.org/vorarlberg,,,
Poland,Bochnia,20.4253292,49.9746843,1425,1425,1942,30,30,,,,,בוכניה,,,,https://he.wikipedia.org/wiki/%D7%91%D7%95%D7%9B%D7%A0%D7%99%D7%94,,,
Germany,Bochum,,,1349,1349,1942,30,30,,,,,בוכום,,,,https://www.jewishvirtuallibrary.org/bochum,,,
Italy,Bolzano,11.3547801,46.4981125,1350,1350,1942,30,30,,,,,בולזאנו,,,,https://dbs.anumuseum.org.il/skn/he/c6/e133101/%D7%9E%D7%A7%D7%95%D7%9D/%D7%91%D7%95%D7%9C%D7%96%D7%90%D7%A0%D7%95,,,
Germany,Bonn,7.09549,50.73438,1349,1349,1942,30,30,,,,,בון,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Bonn,7.09549,50.73438,1090,1090,1942,30,30,,,,,בון,,,,https://www.jewishvirtuallibrary.org/bonn,,,
Germany,Bonn,7.09549,50.73438,1100,1100,1942,30,30,,,,,"בון, בונא",,,,https://he.wikipedia.org/wiki/%D7%91%D7%95%D7%9F,,,
